BibliographyType,ISBN,Identifier,Author,Title,Journal,Volume,Number,Month,Pages,Year,Address,Note,URL,Booktitle,Chapter,Edition,Series,Editor,Publisher,ReportType,Howpublished,Institution,Organizations,School,Annote,Custom1,Custom2,Custom3,Custom4,Custom5
Conference Proceedings,,Akbarian2020,"Akbarian, Fatemeh; Fitzgerald, Emma & Kihl, Maria",Intrusion Detection in Digital Twins for Industrial Control Systems,,,,,1--6,2020,,,,"2020 International Conference on Software, Telecommunications and Computer Networks (SoftCOM)",,,,,,,,,,,,"Nowadays, the growth of advanced technologies is paving the way for Industrial Control Systems (ICS) and making them more efficient and smarter. However, this makes ICS more connected to communication networks that provide a potential platform for attackers to intrude into the systems and cause damage and catastrophic consequences. In this paper, we propose implementing digital twins that have been equipped with an intrusion detection algorithm. Our novel algorithm is able to detect attacks in a timely manner and also diagnose the type of attack by classification of different types of attacks. With digital twins, which are a new concept in ICS, we have virtual replicas of physical systems so that they precisely mirror the internal behavior of the physical systems. So by placing the intrusion detection algorithm in digital twins, security tests can be done remotely without risking negative impacts on live systems.",,Integrated circuits;Support vector machines;Digital twin;Industrial control;Intrusion detection;Software;Classification algorithms;Intrusion detection;Digital twins;Industrial control systems,data/pdfs/Akbarian2020.pdf,
Conference Proceedings,,Akbarian2021,"Akbarian, Fatemeh; Tärneberg, William; Fitzgerald, Emma & Kihl, Maria",A Security Framework in Digital Twins for Cloud-based Industrial Control Systems: Intrusion Detection and Mitigation,,,,,01--08,2021,,,,2021 26th IEEE International Conference on Emerging Technologies and Factory Automation (ETFA ),,,,,,,,,,,,"With the help of modern technologies and advances in communication systems, the functionality of Industrial control systems (ICS) has been enhanced leading toward to have more efficient and smarter ICS. However, this makes these systems more and more connected and part of a networked system. This can provide an entry point for attackers to infiltrate the system and cause damage with potentially catastrophic consequences. Therefore, in this paper, we propose a digital twin-based security framework for ICS that consists of two parts: attack detection and attack mitigation. In this framework we deploy an intrusion detection system in digital domain that can detect attacks in a timely manner. Then, using our mitigation method, we keep the system stable with acceptable performance during the attack. Additionally, we implement our framework on a real testbed and evaluate its capability by subjecting it to a set of attacks.",,Integrated circuits;Industrial control;Digital twin;Intrusion detection;Switches;Control systems;Production facilities;Intrusion detection;Attack mitigation;Digital twins;Industrial control systems,data/pdfs/Akbarian2021 - A Security Framework in Digital Twins for Cloud Based Industrial Control Systems_ Intrusion Detection and Mitigation.pdf,
Journal Article,,Almeaibed2021,"Almeaibed, Sadeq; Al-Rubaye, Saba; Tsourdos, Antonios & Avdelidis, Nicolas P.",Digital Twin Analysis to Promote Safety and Security in Autonomous Vehicles,IEEE Commun. Stand. Mag.,5,1,,40--46,2021,,,,,,,,,,,,,,,,"With the new industrial revolution of digital transformation, more intelligence and autonomous systems can be adopted in the manufacturing transportation processes. Safety and security of autonomous vehicles (AVs) have obvious advantages of reducing accidents and maintaining a cautious environment for drivers and pedestrians. Therefore, the transformation to data-driven vehicles is associated with the concept of digital twin, especially within the context of AV design. This also raises the need to adopt new safety designs to increase the resiliency and security of the whole AV system. To enable secure autonomous systems for smart manufacturing transportation in an end-to-end fashion, this article presents the main challenges and solutions considering safety and security functions. This article aims to identify a standard framework for vehicular digital twins that facilitate the data collection, data processing, and analytics phases. To demonstrate the effectiveness of the proposed approach, a case study for a vehicle follower model is analyzed when radar sensor measurements are manipulated in an attempt to cause a collision. Perceptive findings of this article can pave the way for future research aspects related to employing digital twins in the AV industry.",,,data/pdfs/Almeaibed2021 - Digital Twin Analysis to Promote Safety and Security in Autonomous Vehicles.pdf,
Conference Proceedings,,Anthony2020,"Anthony Howard, Daniel; Ma, Zheng; Mazanti Aaslyng, Jesper & Norregaard Jorgensen, Bo",Data Architecture for Digital Twin of Commercial Greenhouse Production,,,,,1--7,2020,,,,2020 RIVF International Conference on Computing and Communication Technologies (RIVF),,,,,,,,,,,,,,,data/pdfs/Anthony2020 - Data Architecture for Digital Twin of Commercial Greenhouse Production.pdf,
Book Chapter,,Assenza2020,"Assenza, Giacomo; Cozzani, Valerio; Flammini, Francesco; Gotcheva, Nadezhda; Gustafsson, Tommy; Hansson, Anders; Heikkila, Jouko; Iaiani, Matteo; Katsikas, Sokratis; Nissilä, Minna; Oliva, Gabriele; Richter, Eleni; Roelofs, Maaike; Azari, Mehdi Saman; Setola, Roberto; Stejin, Wouter; Tugnoli, Alessandro; Vanderbeek, Dolf; Westerdahl, Lars; Ylönen, Marja & Young, Heather",White Paper on Industry Experiences in Critical Information Infrastructure Security: A Special Session at Critis 2019,,11777,,,197--207,2020,,,,Critical Information Infrastructures Security,,,,"Nadjm-Tehrani, Simin",,,,,,,,"The security of critical infrastructures is of paramount importance nowadays due to the growing complexity of components and applications. This paper collects the contributions to the industry dissemination session within the 14th International Conference on Critical Information Infrastructures Security (CRITIS 2019). As such, it provides an overview of recent practical experience reports in the field of critical infrastructure protection (CIP), involving major industry players. The set of cases reported in this paper includes the usage of serious gaming for training infrastructure operators, integrated safety and security management in the chemical/process industry, risks related to the cyber-economy for energy suppliers, smart troubleshooting in the Internet of Things (IoT), as well as intrusion detection in power distribution Supervisory Control And Data Acquisition (SCADA). The session has been organized to stimulate an open scientific discussion about industry challenges, open issues and future opportunities in CIP research.",,,data/pdfs/Assenza2020 - White Paper on Industry Experiences in Critical Information Infrastructure Security_ a Special Session at Critis 2019.pdf,
Conference Proceedings,,Atalay2020,"Atalay, Manolya & Angin, Pelin",A Digital Twins Approach to Smart Grid Security Testing and Standardization,2020 IEEE International Workshop on Metrology for Industry 4.0 \& IoT,,,,435--440,2020,,,,"2020 IEEE International Workshop on Metrology for Industry 4.0 \& IoT, Roma, Italy, June 3-5, 2020",,,,,,,,,,,,"The exponential growth of the Internet of Things in recent years has created an ever larger cyber attack surface, introducing new security vulnerabilities for all computerized systems. Among the most significant of those systems are industrial control systems (ICS) consisting of many cyber physical components, and smart grids are a prominent example of ICS, whose failures have potential to cause major disruptions in all aspects of our daily lives. In this paper, we provide an overview of smart grid cybersecurity standards, and review major threats to smart grid environments at the physical, network and application layers. In order to overcome the current lack of standards for security evaluation of smart grids, we propose a digital twins based approach for the complete life cycle of a smart grid, which accurately models the functioning of the physical grid and avoids service disruptions caused by running security tests on the actual grid. A digital twins based approach is promising to provide a common ground for the development of standardized models for continuous and comprehensive penetration testing of smart grids.",,Integrated circuits;Digital twin;Standards organizations;Organizations;Smart grids;Security;Internet of Things;Smart Grid;IoT;Cybersecurity;Digital Twins,data/pdfs/Atalay2020 - A Digital Twins Approach to Smart Grid Security Testing and Standardization.pdf,
Journal Article,,Ayodeji2020,"Ayodeji, Abiodun; Liu, Yong-kuo; Chao, Nan & Yang, Li-qun",A New Perspective Towards the Development of Robust Data-driven Intrusion Detection for Industrial Control Systems,Nuclear Engineering and Technology,52,12,,2687--2698,2020,,,,,,,,,,,,,,,,"Most of the machine learning-based intrusion detection tools developed for Industrial Control Systems (ICS) are trained on network packet captures, and they rely on monitoring network layer traffic alone for intrusion detection. This approach produces weak intrusion detection systems, as ICS cyber-attacks have a real and significant impact on the process variables. A limited number of researchers consider integrating process measurements. However, in complex systems, process variable changes could result from different combinations of abnormal occurrences. This paper examines recent advances in intrusion detection algorithms, their limitations, challenges and the status of their application in critical infrastructures. We also introduce the discussion on the similarities and conflicts observed in the development of machine learning tools and techniques for fault diagnosis and cybersecurity in the protection of complex systems and the need to establish a clear difference between them. As a case study, we discuss special characteristics in nuclear power control systems and the factors that constraint the direct integration of security algorithms. Moreover, we discuss data reliability issues and present references and direct URL to recent open-source data repositories to aid researchers in developing data-driven ICS intrusion detection systems.",,"Cybersecurity, Intrusion detection system, Nuclear power plant, Pattern recognition",data/pdfs/Ayodeji2020 - A New Perspective Towards the Development of Robust Data Driven Intrusion Detection for Industrial Control Systems.pdf,
Book Chapter,,Bajaj2020,"Bajaj, Mohit & Akhilesh, K. B.",Understanding the Need for Cybersecurity in Manufacturing Environment,,,,,147--157,2020,,,,Smart Technologies,,,,"Akhilesh, K. B. & Möller, Dietmar P. F.",,,,,,,,"Connected devices help us in many ways. They have made our lives easy and safe. With the introduction of Internet of Things (IoT), a lot of innovation has been driven in the manufacturing sector. However, it brings along with itself serious challenges too. The increase in the penetration of IoT has opened the doors for attackers with now even more surface area prone to attacks. The more machines connected the more the data is exchanged which implies more exposure of information which could be confidential and sensitive. Manufacturing units are the first line of defense in safeguarding a country’s capabilities. The information leaked through these channels is not only economically disastrous but also a serious concern for the security of a nation. There is a growing need to keep a check on the information that could be leaked. Cybersecurity plays an important role in preventing the misuse of the data collected through millions of devices nowadays. First, there is a need to spread awareness about the implications of data theft in the manufacturing environment and then understanding the need for cybersecurity in this environment.",,,data/pdfs/Bajaj2020 - Understanding the Need for Cybersecurity in Manufacturing Environment.pdf,
Book Chapter,,Ban2022,"Ban, Xinbo; Ding, Ming; Liu, Shigang; Chen, Chao; Zhang, Jun & Xiang, Yang",TAESim: A Testbed for IoT Security Analysis of Trigger-Action Environment,,13106,,,218--237,2022,,,,Computer Security. ESORICS 2021 International Workshops,,,,"Katsikas, Sokratis; Lambrinoudakis, Costas; Cuppens, Nora; Mylopoulos, John; Kalloniatis, Christos; Meng, Weizhi; Furnell, Steven; Pallas, Frank; Pohle, Jörg; Sasse, M. Angela; Abie, Habtamu; Ranise, Silvio; Verderame, Luca; Cambiaso, Enrico; Maestre Vidal, Jorge & Sotelo Monge, Marco Antonio",,,,,,,,,,,,
Book Chapter,,Bayanifar2017,"Bayanifar, Hessamedin & Kühnle, Hermann",Enhancing Dependability and Security of Cyber-physical Production Systems,,499,,,135--143,2017,,,,Technological Innovation for Smart Systems,,,,"Camarinha-Matos, Luis M.; Parreira-Rocha, Mafalda & Ramezani, Javaneh",,,,,,,,"Despite all its potentials, new industrial revolution enabled by cyber-physical systems (CPS), still has major concerns and obstacles to overcome with regards to dependability and security on its way to be fully appreciated. This study targets these concerns by proposing a generic model for intelligent distributed dependability and security supervision and control mechanisms to enable components to autonomously meet their own security and dependability objectives through real-time distributed improvement cycles, using multi-agent systems approach to enable full exploitation of the model’s evolution capabilities.",,,data/pdfs/Bayanifar2017 - Enhancing Dependability and Security of Cyber Physical Production Systems.pdf,
